species,threshold,accuracy,sensitivity,specificity,tss
lepidota,0.75,0.28644214102164,0.907712418300654,0.276704073150457,0.184416491451111
lepidota,0.95,0.106698592862705,0.967058823529412,0.0932044887780547,0.0602633123074666
longispicata,0.05,0.969134982443793,0.275438596491228,0.97318818667473,0.248626783165958
longispicata,0.25,0.936265615433003,0.498245614035088,0.938816651547223,0.437062265582311
longispicata,0.5,0.858101228172373,0.653508771929824,0.859288378187683,0.512797150117507
longispicata,0.75,0.671511620726404,0.859649122807018,0.670396129422437,0.530045252229455
longispicata,0.95,0.408160953797784,0.982456140350877,0.404797903437154,0.387254043788031
lourteigiana,0.05,0.969570405727924,0.291666666666667,0.971192185007974,0.262858851674641
lourteigiana,0.25,0.881861575178998,625,0.882476076555024,0.507476076555024
lourteigiana,0.5,0.757159904534606,0.75,0.757177033492823,0.507177033492823
lourteigiana,0.75,0.629375497215593,0.708333333333333,0.629186602870813,0.337519936204147
lourteigiana,0.95,0.467680986475736,0.791666666666667,0.466905901116428,0.258572567783094
lymanii,0.05,0.982508745627186,0.205128205128205,0.985550872968092,0.190679078096297
lymanii,0.25,0.946426786606697,0.717948717948718,0.9473208910295,0.665269608978218
lymanii,0.5,0.898650674662669,0.923076923076923,0.898555087296809,0.821632010373732
lymanii,0.75,0.83848075962019,0.974358974358974,0.837949026690748,0.812308001049723
lymanii,0.95,0.754622688655672,0.974358974358974,0.753762793497893,0.728121767856867
macrothyrsa,0.05,0.944399705508808,0.263524130190797,0.955994564649315,0.219518694840112
macrothyrsa,0.25,0.87153341371133,0.606734006734007,0.876032194000209,0.482766200734216
macrothyrsa,0.5,0.76906788011841,0.741526374859708,0.769520225776105,0.511046600635813
macrothyrsa,0.75,0.63166038230371,0.833670033670034,0.628201107975332,0.461871141645366
macrothyrsa,0.95,0.49363287634982,0.938383838383838,0.486045782376921,0.424429620760759
macuxi,0.05,0.986893059279118,0.333333333333333,0.988063264697105,0.321396598030439
macuxi,0.25,0.952934167411379,0.555555555555555,0.953645677907092,0.509201233462648
macuxi,0.5,0.91003872505213,0.944444444444444,0.909977121257336,0.854421565701781
macuxi,0.75,0.852447621884619,0.944444444444444,0.852282900626678,0.796727345071123
macuxi,0.95,0.752159666368782,0.888888888888889,0.751914851288173,0.640803740177062
mayarae,0.05,0.968606915270238,0.171717171717172,0.971397139713971,0.143114311431143
mayarae,0.25,0.910006871881429,0.598484848484848,0.911091109110911,0.50957595759576
mayarae,0.5,0.839049838722366,0.681818181818182,0.83958395839584,0.521402140214022
mayarae,0.75,0.72883019479668,0.681818181818182,0.728972897289729,0.410791079107911
mayarae,0.95,0.551939265203367,0.939393939393939,0.550555055505551,0.48994899489949
mellina,0.05,0.9972247001685,0,0.997818109689577,-0.00218189031042348
mellina,0.25,0.991475864803251,0.333333333333333,0.991867499752058,0.325200833085391
mellina,0.5,0.980473783328377,0.5,0.980759694535357,0.480759694535357
mellina,0.75,0.964317573595005,0.5,0.964593870871764,0.464593870871764
mellina,0.95,0.936068986024383,0.5,0.936328473668551,0.436328473668551
multispicata,0.05,0.954088238223285,0.242424242424243,0.956434852118305,0.198859094542548
multispicata,0.25,0.817747236331043,0.454545454545455,0.8189448441247,0.273490298670155
multispicata,0.5,0.597350861467981,0.666666666666667,0.597122302158273,0.26378896882494
multispicata,0.75,0.392490787770143,0.787878787878788,0.391187050359712,0.1790658382385
multispicata,0.95,0.196394781396275,0.848484848484848,0.194244604316547,0.0427294528013952
navioensis,0.05,0.990042528143572,0.199074074074074,0.992113407207747,0.191187481281821
navioensis,0.25,0.96235916612855,0.550925925925926,0.963462114405511,0.514388040331437
navioensis,0.5,0.913468161660252,0.777777777777778,0.913846461016272,0.69162423879405
navioensis,0.75,0.857308273831175,0.814814814814815,0.857442348008386,0.672257162823201
navioensis,0.95,0.764005718727649,0.851851851851852,0.763801537386443,0.615653389238295
octopetala,0.05,0.974172290126099,0.301587301587302,0.975515079128098,0.277102380715399
octopetala,0.25,0.918146765926129,0.753968253968254,0.918483129292326,0.67245138326058
octopetala,0.5,0.823579924767912,0.904761904761905,0.82342987956604,0.728191784327944
octopetala,0.75,0.722955023574418,1,0.722404697919777,0.722404697919777
